아원,전라북도 완주군 소양면 송광수만로 516-7,3.3,77건,36
지리산유스캠프,전라북도 남원시 주천면 웅치윗길 133-5,5.0,1건,1
지리산한옥마을[한국관광 품질인증/Korea Quality],전라북도 남원시 산내면 대정방천길 43,0.0,0건,0
고창 선운산 유스호스텔,전라북도 고창군 아산면 선운사로 158-36,4.6,5건,0
계화도,전라북도 부안군 계화면,5.0,1건,1
풍남헌[한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 은행로 35 풍남헌,5.0,5건,15
소노벨 변산(구 대명리조트 변산),전라북도 부안군 변산면 변산해변로 51,3.6,104건,289
무주덕유산리조트,전라북도 무주군 설천면 만선로 185,3.7,50건,139
문화공간 양사재[한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 오목대길 40 양사재,4.3,6건,9
상관리조트&스파,전라북도 완주군 상관면 죽림편백길 118-38,4.2,13건,20
샤니모텔[한국관광 품질인증/Korea Quality],전라북도 부안군 동중3길 18,3.0,2건,0
강천각모텔,전라북도 순창군 팔덕면 강천산길 85,0.0,0건,1
행복드림한옥[한국관광 품질인증/Korea Quality],전라북도 완주군 용진면 봉서안길 181-21,0.0,0건,0
동락원,전라북도 전주시 완산구 은행로 33-6,4.3,16건,65
소양고택 한옥스테이[한국관광 품질인증/Korea Quality],전라북도 완주군 송광수만로 472-23,3.1,56건,274
왕포리조텔,전라북도 부안군 진서면 왕포길 30-12,4.2,6건,1
스테이 변산바람꽃,전라북도 부안군 진서면 작당길 6-7,4.3,12건,26
람사르 운곡습지 유스호스텔,전라북도 고창군 운곡로 91 고창군 람사르 운곡습지 유스호스텔,5.0,4건,3
베스트웨스턴 군산호텔,전라북도 군산시 새만금북로 435,4.3,23건,46
일성지리산콘도&리조트,전라북도 남원시 산내면 천왕봉로 626-25,1.4,15건,3
전주 아리울모텔,전라북도 전주시 덕진구 가리내로 29-2,0.0,0건,0
토비스콘도 지리산,전라북도 남원시 산내면 산내원천길 4-5,0.0,0건,0
(사) 전주한옥숙박체험업협회,전라북도 전주시 완산구 기린대로 86,0.0,0건,0
익산유스호스텔,전라북도 익산시 마한로 11,4.0,5건,5
하정사색,전라북도 남원시 향단로 53-12,4.0,2건,7
무주덕유산리조트 호텔티롤,전라북도 무주군 설천면 만선로 185,3.7,50건,139
교동살래[한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 전주천동로 66-1,,(30),35
라마다 군산호텔,전라북도 군산시 대학로 400,3.6,63건,121
한옥이야기[한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 은행로 83-14,3.6,11건,8
구시포마을,전라북도 고창군 상하면 구시포해변길 150,0.0,0건,0
임실필봉농악보존회 [한국관광 품질인증/Korea Quality],전라북도 임실군 강운로 272 필봉문화촌,1.0,1건,10
다숲펜션[한국관광 품질인증/Korea Quality],전라북도 무주군 설천면 구천동1로 149,5.0,9건,5
미륵산자연학교,전라북도 익산시 삼기면 죽청길 46-60,0.0,0건,0
모악산유스호스텔,전라북도 김제시 금산면 모악로 460-20,2.8,18건,133
기린모텔 [한국관광 품질인증/Korea Quality],전라북도 무주군 무주읍 단천로 74,2.7,7건,0
단경 [한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 한지길 99,0.0,0건,1
켄싱턴리조트 남원점,전라북도 남원시 소리길 66,,(30),109
유로빌리지,전라북도 군산시 옥구읍 신장길 26,3.4,5건,24
무주덕유산리조트 국민호텔,전라북도 무주군 설천면 만선로 185,3.7,50건,139
소양고요,전라북도 완주군 소양면 곰티로 227,0.0,0건,14
데미샘바우펜션,전라북도 진안군 백운면 백장로 407,5.0,4건,5
한옥스테이 까치[한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 은행로 74-5,5.0,1건,13
익산그랜드팰리스호텔,전라북도 익산시 목천로1길 9,3.1,7건,4
스위트 호텔 남원,전라북도 남원시 주천면 원천로 217,4.2,33건,52
채석강 리조트 유스호스텔,전라북도 부안군 변산면 채석강길 19,4.3,8건,3
웨스턴라이프호텔,전라북도 익산시 동서로 380,3.1,28건,49
맨하탄모텔,전라북도 순창군 순창읍 대동로 41,1.8,6건,0
무주덕유산리조트 가족호텔,전라북도 무주군 설천면 만선로 185,3.7,50건,139
새만금모텔,전라북도 부안군 변산면 변산로 1751,0.0,0건,0
무주네버랜드,전라북도 무주군 무풍면 구천동로 289-55,3.2,5건,6
와운산장펜션,전라북도 남원시 산내면 와운길 266,3.0,6건,0
바닷가의추억,전라북도 부안군 변산면 궁항영상길 38,4.7,3건,0
죽도마을,전라북도 고창군 부안면 봉암리 683,0.0,0건,0
베니키아 전주한성 호텔,전라북도 전주시 완산구 전주객사5길 43-3,2.7,7건,9
모항 해나루 가족호텔,전라북도 부안군 변산면 모항해변길 73,3.7,25건,42
히노키잠(1호점)[한국관광 품질인증/Korea Quality],전라북도 군산시 구영6길 54-1,2.3,3건,0
모카펜션,전라북도 부안군 변산면 격포반월길 27-21,0.0,0건,1
라이브풍경펜션,전라북도 무주군 부남면 굴암로 48,5.0,2건,0
토비스콘도 무주,전라북도 무주군 무풍면 구천동로 350,0.0,0건,0
해리마을,전북 고창군 해리면 동호리,3.5,15건,37
바다소리펜션,전라북도 부안군 변산면 변산해변로 98,5.0,2건,0
일성무주콘도&리조트,전라북도 무주군 무풍면 라제통문로 455,2.8,6건,2
하얀파크펜션,전라북도 순창군 복흥면 용지길 51,5.0,4건,149
에이본 호텔,전라북도 군산시 해망로 10,3.8,49건,17
품안에 서해바다,전라북도 부안군 변산면 고사길 65-71,4.1,9건,4
화이트모텔,전라북도 진안군 주천면 동상주천로 1648,0.0,0건,0
마루펜션,전라북도 부안군 변산면 노루목길 8-5,3.8,24건,1
전주 한옥마을 백년한옥,전라북도 전주시 완산구 기린대로 74-9,3.5,8건,5
나봄리조트,전라북도 장수군 천천면 승마1로 60-31,0.0,0건,0
리츠프라자호텔,전라북도 군산시 한밭안길 30,2.4,14건,4
숨 펜션,전라북도 임실군 운암면 운정길 93-1,4.3,7건,33
지리산맑은물펜션,전라북도 남원시 산내면 지리산로 1256,3.0,2건,2
동진캐슬 아모르펜션,전라북도 부안군 변산면 궁항로 66,5.0,5건,0
선운산호텔,전라북도 고창군 아산면 중촌길 21,1.6,7건,1
더메이호텔,전라북도 전주시 덕진구 기린대로 800,4.2,18건,166
아리울파크,전라북도 부안군 변산면 격포항길 5,0.0,0건,0
격포마을,전라북도 부안군 변산면 격포항길 64-18,0.0,0건,0
일마레변산리조트,전라북도 부안군 변산면 궁항로 91,3.0,6건,23
채석리조텔오크빌,전라북도 부안군 변산면 격포로 196,0.0,0건,0
해넘이펜션,전라북도 부안군 변산면 변산해변로 188,4.0,12건,2
양지민박,전라북도 군산시 옥도면 어청도길 55-1,5.0,2건,2
라메르펜션,전라북도 부안군 격포로 212,5.0,1건,1
레인보우펜션,전라북도 부안군 변산면 고사길 96-3,5.0,3건,0
전주 카누호텔,전라북도 전주시 덕진구 산정2길 12-7,2.7,7건,6
노을빛언덕펜션,전라북도 부안군 변산면 격포반월길 63,5.0,4건,3
레몬테라스,전라북도 부안군 변산면 고사길 86,0.0,0건,0
책방,전라북도 군산시 구영5길 100,4.8,5건,8
발리펜션,전라북도 부안군 변산면 지서로 185,4.0,1건,1
오케이모텔,전라북도 군산시 백릉안5길 59,1.0,1건,0
궁항리조트,전라북도 부안군 변산면 궁항로 150-1,3.7,3건,6
라비치호텔,전라북도 군산시 비응남로 36,3.9,7건,1
예스모텔,전라북도 군산시 가도안1길 61,1.0,1건,0
블루원 모텔,전라북도 전주시 덕진구 용산2길 18,2.5,2건,1
베스트웨스턴플러스전주호텔,전라북도 전주시 완산구 현무1길 41,3.6,50건,191
라비치펜션,전라북도 부안군 변산면 고사길 90,0.0,0건,2
네버엔딩스토리,전라북도 부안군 변산면 대항길 71,5.0,1건,0
XO모텔,전라북도 전주시 덕진구 용산1길 17-1,0.0,0건,1
무주스키텔,전라북도 무주군 설천면 만선로 36-19,3.0,1건,38
파이체르(구 짬모텔),전라북도 군산시 미원1길 9,0.0,0건,0
차칸호텔,전라북도 군산시 소룡1길 58,4.4,14건,3
엘리스호텔,전라북도 군산시 가도안1길 19,3.8,4건,0
사랑가득[한국관광 품질인증/Korea Quality],전라북도 전주시 완산구 향교길 149-8,3.2,6건,8
크로바모텔,전라북도 군산시 부곡3길 15-5,4.0,4건,0
플로라펜션,전라북도 부안군 변산면 도청두포길 23-11,5.0,2건,8
아크로호텔,전라북도 군산시 소룡1길 53,4.8,4건,2
비타민호텔,전라북도 군산시 비응남1길 21,3.5,6건,3
