accommodationlist_name,addr,rates,visitors,reviews
가경재,경상북도 안동시 하회남촌길 69-5,,,블로그리뷰 19
가락관광호텔,서울특별시 송파구 송파대로28길 5,별점3.91,방문자리뷰 130,블로그리뷰 18
가락청,전라북도 전주시 완산구 한지길 68,별점4.45,방문자리뷰 45,블로그리뷰 33
가람나무,경기도 파주시 소라지로327번길 126-21,,방문자리뷰 42,블로그리뷰 1
가람초연재,경상북도 안동시 풍천면 하회종가길 76-6,,,블로그리뷰 2
가름게스트하우스,제주특별자치도 서귀포시 법환하로9번길 10,,,
가리벨리 관광펜션(가리벨리관광펜션휴양타운),강원특별자치도 인제군 인제읍 대목리길 137,,,
가리왕산이야기 펜션,강원특별자치도 정선군 정선읍 청량길 32,,방문자리뷰 20,블로그리뷰 37
가바나모텔,경기도 구리시 안골로 70,별점4.01,방문자리뷰 83,
가보호텔,경기도 평택시 평택5로76번길 18-10,,,
가비원모텔,경상남도 하동군 화개로 13,,방문자리뷰 40,블로그리뷰 10
가시버시펜션,경기도 양평군 용문면 용문산로 337,,,
가야호텔,경상북도 성주군 수륜면 가야산식물원길 52,,,
가영당,충청북도 청주시 청원구 오창읍 미래지로 71-54,,,
가은채,전라북도 전주시 완산구 한지길 68-13,,,
가은채2,전라북도 전주시 완산구 한지길 100-20,,,
가을동화펜션,강원특별자치도 평창군 봉평면 흥정계곡길 72,,,
가재와곰펜션,강원특별자치도 평창군 봉평면 흥정계곡4길 212-27,별점4.97,방문자리뷰 34,블로그리뷰 25
가족사랑바다체험펜션,경상남도 남해군 삼동면 죽방로 495,별점3.98,방문자리뷰 57,블로그리뷰 4
가평 하이랜드,경기도 가평군 북면 가화로 2369-19,,,
가평미라몬티풀빌라펜션,경기도 가평군 가화로 1364-59,별점4.83,방문자리뷰 862,블로그리뷰 215
갈모봉 힐링스테이,경상남도 고성군 고성읍 이당5길 149-21,별점4.67,방문자리뷰 24,블로그리뷰 7
강가에 하얀집 펜션,강원특별자치도 영월군 영월읍 선돌길 83-9,,방문자리뷰 19,블로그리뷰 8
강가의성,강원특별자치도 홍천군 북방면 굴지강변로 281,,방문자리뷰 1,블로그리뷰 21
강과 소나무,강원특별자치도 정선군 북평면 졸드루길 31-57,별점4.86,방문자리뷰 142,블로그리뷰 116
강구안게스트하우스,경상남도 통영시 동충4길 56,,,
강남스테이힐(Gangnam Stay Hill),서울특별시 강남구 테헤란로13길 65,,,
강남아르누보씨티호텔,서울특별시 서초구 서초대로74길 49,,,
강령전,전라북도 전주시 완산구 태조로 26-24,,,
강릉 로뎀나무 펜션,강릉시 해안로621번길 12 (안현동),별점4.64,방문자리뷰 82,블로그리뷰 25
강릉 부띠끄호텔 봄봄,강원특별자치도 강릉시 교동광장로100번길 19,별점4.4,방문자리뷰 106,블로그리뷰 194
강릉 지중해펜션,강원특별자치도 강릉시 사천면 해안로 904-22,,방문자리뷰 1,블로그리뷰 4
강릉ing게스트하우스,강원특별자치도 강릉시 용지각길 19,별점4.58,방문자리뷰 753,블로그리뷰 351
강릉게스트하우스 중앙점,강원특별자치도 강릉시 경강로2103번길 17,별점4.77,"방문자리뷰 1,700","블로그리뷰 1,915"
강릉선교장,강원특별자치도 강릉시 운정길 63 선교장,별점4.32,방문자리뷰 340,"블로그리뷰 1,657"
강릉시 청소년 해양수련원,강원특별자치도 강릉시 주문진읍 동해대로 4940,,,블로그리뷰 24
강릉오죽한옥마을,강원특별자치도 강릉시 죽헌길 114,별점4.59,방문자리뷰 103,블로그리뷰 431
강변에서 황토콘도,강원특별자치도 인제군 인제읍 내린천로 5384,,방문자리뷰 9,블로그리뷰 3
강변의수채화 펜션,강원특별자치도 홍천군 북방면 노일로310번길 15,,방문자리뷰 6,블로그리뷰 5
강애산애펜션,강원특별자치도 평창군 봉평면 흥정계곡1길 23,별점4.93,방문자리뷰 73,블로그리뷰 23
강이 있는 풍경 (강이 있는 풍경 펜션),경상북도 문경시 마성면 구랑로 333,별점4.7,방문자리뷰 176,블로그리뷰 46
강이흐르는마을 펜션,강원특별자치도 정선군 정선읍 군언길 129,,방문자리뷰 1,블로그리뷰 5
강진달빛한옥마을,전라남도 강진군 성전면 달빛한옥길 2,,,블로그리뷰 84
강천각모텔,전라북도 순창군 팔덕면 강천산길 85,,,블로그리뷰 1
강촌 느티나무마을펜션,강원특별자치도 춘천시 남산면 강촌로 80-1,별점4.14,방문자리뷰 79,블로그리뷰 45
강촌w펜션,강원특별자치도 춘천시 남산면 강촌로 143,별점4.83,방문자리뷰 914,블로그리뷰 38
강촌잠빌펜션,강원특별자치도 춘천시 남산면 강촌로 250,별점4.73,방문자리뷰 260,블로그리뷰 51
강현재,전라남도 보성군 가내길 31-1,,,블로그리뷰 34
강화유스호스텔,인천광역시 강화군 내가면 해안서로 972,,,블로그리뷰 14
